Description,Price,Rating,ReviewCount,Url
Camppal 3 4 Person Tent for Camping Hiking Mountain Hunting Backpacking Army Tents 4 Season Resistance to Wind and Rain Lightweight and Waterproof,$129.00,4.3 out of 5 stars,4,https://www.amazon.com/Mountain-Backpacking-Resistance-Lightweight-Waterproof/dp/B095917D6S/ref=sr_1_4?dchild=1&keywords=tent+for+backpacking&qid=1621432124&sr=8-4
"WERTYG 3-in-1 Hydraulic Automatic Camping Tent, Dome Garden Tent Canopy, 3-4 Person Waterproof Ventilated Removable Pop-up Dome Tent, for Outdoor Travel Hiking, Fishing (Color : Orange)",$130.00,,,https://www.amazon.com/WERTYG-Hydraulic-Automatic-Waterproof-Ventilated/dp/B094FFD7KB/ref=sr_1_5?dchild=1&keywords=tent+for+backpacking&qid=1621432124&sr=8-5
"WERTYG 3-in-1 Hydraulic Automatic Camping Tent, Dome Garden Tent Canopy, 3-4 Person Waterproof Ventilated Removable Pop-up Dome Tent, for Outdoor Travel Hiking, Fishing (Color : Green)",$130.00,,,https://www.amazon.com/WERTYG-Hydraulic-Automatic-Waterproof-Ventilated/dp/B094FBBGW2/ref=sr_1_6?dchild=1&keywords=tent+for+backpacking&qid=1621432124&sr=8-6
"WERTYG 3-in-1 Hydraulic Automatic Camping Tent, Dome Garden Tent Canopy, 3-4 Person Waterproof Ventilated Removable Pop-up Dome Tent, for Outdoor Travel Hiking, Fishing (Color : Blue)",$130.00,,,https://www.amazon.com/WERTYG-Hydraulic-Automatic-Waterproof-Ventilated/dp/B094FF25CK/ref=sr_1_7?dchild=1&keywords=tent+for+backpacking&qid=1621432124&sr=8-7
Night Cat Backpacking Tent for 2 Persons Double Layers Camping Tent for Hiking Mountaineering Lightweight Waterproof Easy Setup,$79.99,5.0 out of 5 stars,2,https://www.amazon.com/Night-Cat-Backpacking-Mountaineering-Lightweight/dp/B089YJKFM5/ref=sr_1_10?dchild=1&keywords=tent+for+backpacking&qid=1621432124&sr=8-10
Night Cat Backpacking Tent for 2 Persons Double Layers Camping Tent for Hiking Mountaineering Lightweight Waterproof Easy Setup,$79.99,5.0 out of 5 stars,2,https://www.amazon.com/Night-Cat-Backpacking-Mountaineering-Lightweight/dp/B089YGYGTW/ref=sr_1_11?dchild=1&keywords=tent+for+backpacking&qid=1621432124&sr=8-11
"Unigear Telescopic Tent Pole Set of 2 Aluminium Pole for Tarp, Tent, Awning, Camping, Adjustable from 40 cm - 240 cm",$39.99,4.8 out of 5 stars,13,https://www.amazon.com/Unigear-Telescopic-Aluminium-Camping-Adjustable/dp/B085W2PGTP/ref=sr_1_13?dchild=1&keywords=tent+for+backpacking&qid=1621432124&sr=8-13
"Camping Tent,Instant Automatic pop up Family Dome Tent, 2-3 Persons Lightweight Beach Tent, Waterproof Windproof, UV Protection,Backpacking Tent Shelter Perfect for Traveling,Mountaineering,Hiking",$34.99,,,https://www.amazon.com/Lightweight-Waterproof-Protection-Backpacking-Mountaineering/dp/B091L33755/ref=sr_1_14?dchild=1&keywords=tent+for+backpacking&qid=1621432124&sr=8-14
"WhiteHills Ultralight Trekking Pole Tent, Backwoods Bungalow Baker Tent, Lightweight Backpacking Tent with Awning, 2 Person Trekker Tent Waterproof Survival Bushcraft Shelter,Black/Camo",$109.90,4.4 out of 5 stars,6,https://www.amazon.com/WhiteHills-Ultralight-Lightweight-Backpacking-Waterproof/dp/B093LGT86T/ref=sr_1_15?dchild=1&keywords=tent+for+backpacking&qid=1621432124&sr=8-15
"MOSEIKO 3-4 Person Automatic Tent with Bag, Lightweight Waterproof Portable ，Family Camping Tent, Anti-UV，Outdoor Camping Equipment(Hiking, Backpacking and Travel), Two Colors",$89.89,,,https://www.amazon.com/Automatic-Lightweight-Waterproof-Anti-UV%EF%BC%8COutdoor-Backpacking/dp/B0924932JW/ref=sr_1_16?dchild=1&keywords=tent+for+backpacking&qid=1621432124&sr=8-16
